SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,203999,0022501197,"Apr 12, 2026",DEN @ SAS,W,18,7,12,0.583,1,2,0.5,8,8,1.0,4,4,8,1,0,1,0,1,23,6,1
22025,203999,0022501162,"Apr 08, 2026",DEN vs. MEM,W,31,5,8,0.625,0,1,0.0,4,5,0.8,4,12,16,10,2,0,2,0,14,24,1
22025,203999,0022501147,"Apr 06, 2026",DEN vs. POR,W,43,15,31,0.484,1,5,0.2,4,4,1.0,7,7,14,13,5,2,6,2,35,5,1
22025,203999,0022501130,"Apr 04, 2026",DEN vs. SAS,W,44,13,25,0.52,1,5,0.2,13,15,0.867,1,7,8,13,0,3,0,4,40,12,1
22025,203999,0022501112,"Apr 01, 2026",DEN @ UTA,W,33,5,10,0.5,0,1,0.0,5,7,0.714,0,17,17,12,0,0,5,1,15,10,1
22025,203999,0022501090,"Mar 29, 2026",DEN vs. GSW,W,36,10,20,0.5,4,8,0.5,1,1,1.0,3,12,15,8,1,0,2,3,25,16,1
22025,203999,0022501072,"Mar 27, 2026",DEN vs. UTA,W,39,13,16,0.813,2,2,1.0,5,8,0.625,4,11,15,12,1,0,7,0,33,13,1
22025,203999,0022501059,"Mar 25, 2026",DEN vs. DAL,W,38,8,19,0.421,1,5,0.2,6,6,1.0,2,19,21,19,1,0,1,5,23,10,1
22025,203999,0022501050,"Mar 24, 2026",DEN @ PHX,W,35,9,16,0.563,0,1,0.0,5,7,0.714,3,14,17,17,0,0,2,3,23,-5,1
22025,203999,0022501032,"Mar 22, 2026",DEN vs. POR,W,35,10,18,0.556,2,8,0.25,0,0,0.0,3,11,14,14,2,1,5,3,22,19,1
22025,203999,0022501021,"Mar 20, 2026",DEN vs. TOR,W,37,9,14,0.643,1,2,0.5,3,5,0.6,2,6,8,9,1,1,2,5,22,-2,1
22025,203999,0022500651,"Mar 18, 2026",DEN @ MEM,L,39,11,19,0.579,2,4,0.5,5,8,0.625,2,12,14,9,1,3,10,4,29,-4,1
22025,203999,0022500997,"Mar 17, 2026",DEN vs. PHI,W,25,4,7,0.571,0,1,0.0,0,0,0.0,0,7,7,14,0,0,5,4,8,14,1
22025,203999,0022500974,"Mar 14, 2026",DEN @ LAL,L,43,10,19,0.526,2,6,0.333,2,2,1.0,2,14,16,14,5,1,4,2,24,6,1
22025,203999,0022500958,"Mar 12, 2026",DEN @ SAS,W,39,9,17,0.529,2,6,0.333,11,11,1.0,3,17,20,12,3,2,3,3,31,8,1
22025,203999,0022500950,"Mar 11, 2026",DEN vs. HOU,W,30,6,12,0.5,0,2,0.0,4,5,0.8,4,8,12,13,5,1,5,2,16,27,1
22025,203999,0022500933,"Mar 09, 2026",DEN @ OKC,L,40,12,19,0.632,3,6,0.5,5,6,0.833,1,13,14,13,0,1,3,0,32,2,1
22025,203999,0022500911,"Mar 06, 2026",DEN vs. NYK,L,31,14,21,0.667,1,7,0.143,9,10,0.9,1,7,8,5,2,0,3,1,38,-18,1
22025,203999,0022500906,"Mar 05, 2026",DEN vs. LAL,W,38,10,15,0.667,0,1,0.0,8,8,1.0,3,9,12,13,1,1,9,4,28,6,1
22025,203999,0022500881,"Mar 02, 2026",DEN @ UTA,W,36,6,11,0.545,0,0,0.0,10,11,0.909,2,10,12,5,0,2,3,5,22,2,1
22025,203999,0022500871,"Mar 01, 2026",DEN vs. MIN,L,37,15,26,0.577,1,4,0.25,4,6,0.667,5,8,13,9,1,2,5,1,35,4,1
